VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,97 €
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,85 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,94 €
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,82 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,20:30 – 22:20,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,94 €
BER,PAR,20:30 – 22:20,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,82 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,20:15 – 22:05,"BERAéroport de Berlin Brandebourg
-
CDGAéroport Charles-de-Gaulle",direct,1h 50min,178 €
BER,PAR,20:15 – 22:05,"BERAéroport de Berlin Brandebourg
-
CDGAéroport Charles-de-Gaulle",direct,1h 50min,179 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,160 €
BER,PAR,09:00 – 10:50,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",direct,1h 50min,119 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,15:45 – 17:35,"BERAéroport de Berlin Brandebourg
-
CDGAéroport Charles-de-Gaulle",direct,1h 50min,116 €
BER,PAR,14:05 – 22:10,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",,8h 05min,103 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,12:25 – 14:15,"BERAéroport de Berlin Brandebourg
-
CDGAéroport Charles-de-Gaulle",direct,1h 50min,150 €
BER,PAR,14:05 – 22:10,"BERAéroport de Berlin Brandebourg
-
ORYAéroport de Paris-Orly",,8h 05min,97 €
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
BER,PAR,,,,,
